"Prop_ID","Playground_ID","Name","Location","Accessible","lat","lon","slug","ADA_Accessible_Comfort_Station","Sensory-Friendly"
"R087","R087","Dongan Playground","Mason Ave between Buel Ave and Dongan Hills Ave","Yes","40.5831","-74.0897","null","Not Accessible","Y"
"R089","R089","Greencroft Playground","Greencroft Ave between Ainsworth Ave and Redgrave Ave","Yes","40.5521","-74.1361","null","Accessible","Y"
"R090","R090","Lieutenant John H. Martinson Playground","Preston Ave between Koch Blvd and Osborne St","Yes","40.5369","-74.1626","null","Accessible","Y"
"R097","R097","Ida Court Playground","Drumgoole Rd E., N. Railroad St, Ida Ct.","Yes","40.5385","-74.1867","null","No","Y"
"R100","R100","Drumgoole Tot Lot","Drumgoole Rd W., Grantwood Ave, Carlton Ave, Rathbun Ave","Yes","40.5491","-74.18","null","No","Y"
"R105","R105","Prall Playground","Elizabeth St, Forest Ave, Broadway, Clove Lake Pl","Limited","40.6286","-74.1181","null","Not Accessible","N"
"R106","R106-01","Bloomingdale Playground","Ramona Ave, Lenevar Ave","Yes","40.5352","-74.2088","null","Accessible","Y"
"R109","R109-01","Corporal Thompson Playground","Broadway, Wayne St","Yes","40.6389","-74.118","null","Accessible","Y"
"R110","R110","Tottenville Pool Playground","Hylan Blvd between Joline Ave and Sprague Ave","Yes","40.5057","-74.2359","null","No","Y"
"R111","R111","Lt. Lia Playground","Wall St between St Marks Pl and Belmont Pl","Yes","40.6436","-74.0798","null","No","Y"
"R114","R114","Jennifer's Playground","Jules Dr., Elson Ct., Regis Dr.","Yes","40.6202","-74.1634","null","Not Accessible","Y"
"R119","R119-01","Blue Heron Tot Lot","Next To Nature Ctr At 222 Poillon Ave, between Amboy Rd, Hylan Blvd","Yes","40.5308","-74.1775","null","Accessible","Y"
"R123","R123","Skyline Playground","Arnold St to Prospect Ave between Harvard Ave and Clyde Pl","Yes","40.6391","-74.0898","null","No","Y"
"R125","R125","Lopez Playground","Palma Dr. between Targee St and Oder Ave","Yes","40.6115","-74.0849","null","No","Y"
"R129","R129-01","Greenbelt Recreation Center Playground","Brielle Ave, Rockland Ave, Walcott Ave","Yes","40.5925","-74.1391","null","Accessible","Y"
"R135","R135-01","Crescent Beach Tot Lot","Armstrong Ave, Tennyson Dr","Yes","40.5358","-74.1467","null","No","Y"
"R144","R144","Sobel Court Park Playground","Bowen St, Vanderbilt Ave, Targee St","Yes","40.6148","-74.0832","null","No","N"
"R145","R145-01","Seaside Wildlife Nature Playground","Great Kills Harbor between Cleveland Ave & Nelson Ave","Limited","40.5415","-74.1427","null","No","Y"
"X001","X001-01","Aqueduct Lands Playground","W 181 St & Aqueduct Ave","Yes","40.8575","-73.9088","null","Accessible","Y"
"X001A","X001A-01","Morton Playground","Morton Pl & University Ave","Yes","40.8512","-73.9142","null","No","Y"
"X002","X002-04","Ben Abrams Playground","Lydig Ave & Bronx Park E","Yes","40.8545","-73.8702","null","Not Accessible","Y"
"X002","X002-05","Brady Playground","Bronxdale Ave, Bronx Park E","Yes","40.8514","-73.8688","null","Not Accessible","Y"
"X002","X002-05A","Waring Playground","Waring Ave, Bronx Park E","Yes","40.8607","-73.8715","null","Accessible","Y"
"X002","X002-07","River Park Playground","East 180th St, Boston Rd","Yes","40.8433","-73.8773","null","Not Accessible","Y"
"X002","X002-08","French Charley Playground","Enter at E 204th St & Webster Ave","Yes","40.8699","-73.8763","null","Not Accessible","Y"
"X002","X002-14","Rosewood Playground","Bronx River Pkwy & Rosewood St","Yes","40.8731","-73.8709","null","Not Accessible","Y"
"X004","X004-01","227th Street Playground","E 227 St, Bronx River Parkway","Yes","40.8908","-73.8642","null","Not Accessible","Y"
"X004","X004-02","Olinville Playground","E 219 St, Bronx River Parkway","Yes","40.8841","-73.867","null","Not Accessible","Y"
"X004","X004-03","Parque De Los Ninos Playground","Morrison Ave, Watson Ave","Yes","40.827","-73.8736","null","Not Accessible","Y"
